Profession|Salary|Company Name|Location|Start Date|Telephone|Email|Job Description|Ref.-Nr.|External Link|Application Link
Industriekaufmann/-frau||"Arbeitgeber:
SCHWING Technologies GmbH"|Oderstr. 7, 47506 Neukirchen-Vluyn|Beginn ab 01.08.2026|[]|[]|"WIR BILDEN AUS Wir sind ein inhabergeführtes mittelständisches Unternehmen mit Sitz am Niederrhein. Als führender Sondermaschinenbauer entwickeln, fertigen und vertreiben wir seit mehr als 50 Jahren verfahrenstechnische Geräte und Anlagen im Bereich Produktion und Instandhaltung für unterschiedliche Branchen weltweit.
Wir bieten zum 01.08.2026 einen Ausbildungsplatz für den Ausbildungsberuf INDUSTRIEKAUFLEUTE (M/W/D) Industriekaufleute befassen sich in Unternehmen aller Branchen mit kaufmännisch-betriebswirtschaftlichen Aufgabenbereichen wie Materialwirtschaft, Vertrieb und Marketing, Personal- sowie Finanzwesen.
IHRE AUFGABEN:
◼ Sie lernen sämtliche kaufmännischen Funktionen und internen Prozesse kennen.
◼ Sie arbeiten aktiv, selbstständig und eigenverantwortlich in und mit unseren Teams.
◼ Sie erlernen den sicheren Umgang mit Lieferanten und Kunden.
IHR PROFIL:
◼ Mittlerer Schulabschluss, Fachoberschulreife oder Abitur
◼ Befriedigende Noten in Deutsch, Mathematik und Englisch
◼ Fahrerlaubnis Klasse B wünschenswert
◼ Interesse an kaufmännischen Abläufen und Aufgaben
◼ Teamfähigkeit und Zuverlässigkeit
◼ Motivation, Lern- und Leistungsbereitschaft
WAS WIR BIETEN:
◼ Eine abwechslungsreiche Ausbildung in einem international tätigen Familienunternehmen
◼ Ein angenehmes Arbeitsumfeld mit individueller Betreuung und Förderung während der gesamten 3-jährigen
Ausbildung
◼ Vorbereitung auf die Abschlussprüfung, sowohl auf den schriftlichen Teil als auch auf die Projektarbeit
◼ Hohe Übernahmequote bei entsprechender Leistung
◼ Urlaubsgeld, erfolgsabhängige Prämien, vermögenswirksame Leistungen, Gesundheitsmanagement und
vieles mehr
Wir freuen uns auf Ihre aussagekräftige schriftliche Bewerbung (Anschreiben, Lebenslauf, Zeugnisse) an Herrn
Kevin Nowak: k.nowak@schwing-tech.com
SCHWING Technologies GmbH
Oderstraße 7
47506 Neukirchen-Vluyn
www.schwing-technologies.de"|10000-1203528994-S|http://www.schwing-technologies.de/|
Metallbauer/in - Konstruktionstechnik||"Arbeitgeber:
Fette Metallbau GmbH"|Hauptstr. 15, 49377 Vechta|Beginn ab 01.08.2026|[]|[]|"Wir suchen einen neugierigen Erwachsenen, der Spaß an der Arbeit hat. Erlerne in unserem Team alle Facetten des Werkstoffs Aluminium und Metall.
Du hast technisches Verständnis und handwerkliches Geschick?
Du bist motiviert, leistungsbereit, zuverlässig, teamfähig und flexibel?
Dann bist Du genau richtig!
Wir bieten Dir eine fundierte Ausbildung in einem abwechslungsreichen Beruf, ein familiäres Betriebsklima, Übernahmechancen und vieles mehr."|10000-1203529019-S||
Hörakustiker/in|800 € – 1.100 €/Monat|"Arbeitgeber:
Koch Hörakustik"|Bahnhofstraße 40, 67547 Worms||['+49 6241 8499660']|[]|"Dein neuer Beruf voller Abwechslung:
Als Hörakustiker/in bist du Technik-Profi, Handwerker/in und Menschenfreund/in zugleich. Du hilfst Menschen besser zu hören, passt moderne Hörgeräte an und lernst alles über Gehörschutz und Hörsysteme.
Das erwartet dich bei uns:
Hörtests durchführen und Ergebnisse erklären
Hörgeräte einstellen, programmieren und anpassen
Otoplastiken (Ohrpassstücke) kennenlernen
Kunden beraten und begleiten
Einblick in Medizin, Technik und Handwerk
Das solltest du mitbringen:
Spaß am Umgang mit Menschen
Handwerkliches Geschick & technisches Interesse
Einen guten Schulabschluss (mindestens Realschule)
Motivation, Lernbereitschaft und Teamgeist
Das bieten wir dir:
Eine spannende Ausbildung in einem modernen Fachgeschäft
Ein super Team, das dich unterstützt
Abwechslung zwischen Kundenkontakt, Technik und Handwerk
Sehr gute Übernahmechancen nach der Ausbildung
Bewerbung:
Schick uns deine Bewerbung (Lebenslauf, Zeugnisse, gern auch ein kurzes Anschreiben) an: siegler-koch@koch-ha.de"|10001-1001726043-S||
Zahnmedizinische/r Fachangestellte/r||"Arbeitgeber:
Dr. Melanie und Dr. Joachim Höhle"|Oststr. 13, 33129 Delbrück|Beginn ab 01.08.2026|['+49 5250 995988']|[]|"Wir bieten zum 01.08.2026 einen Ausbildungsplatz zum Zahnmedizinischen Fachangestellten (m/w/d) an.
Inhalt der Ausbildung:
Erlernen aller Behandlungsschritte von der Vorbereitung des Arbeitsplatzes
der Durchführung der Assistenz bei der kieferorthopädischen Behandlung bis zur Nachbereitung
das eigenständige Durchführen von Maßnahmen am Patienten bei herausnehmbaren und festsitzenden Zahnspangen
Erlernen von Verwaltungsarbeiten
kleinere Laborarbeiten und Anfertigung von Röntgenbildern
täglicher Umgang mit Kindern und Erwachsenen
Wir freuen uns auf deine Bewerbung."|10000-1203529015-S||
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Industriestr. 5, 69239 Neckarsteinach|Beginn ab 01.08.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-3574-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/neckarsteinach/industriestr-5/3574?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L3574
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Freizeitweg 4, 75050 Gemmingen|Beginn ab 01.08.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-3911-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/gemmingen/freizeitweg-4/3911?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L3911
IT-System-Elektroniker/in||"Arbeitgeber:
C.D. Büttner Sicherheitstechnik GmbH"|Pampower Str. 52, 19061 Schwerin, Mecklenburg|Beginn ab 01.09.2026|['+49 385 3950015']|[]|"Sie interessieren sich für Systeme der IT- Technik im Sicherheitsbereich?
Dann bewerben Sie sich bei uns für die 3-jährige Ausbildung als IT-Systemelektroniker (m/w/d).
Unser Unternehmen:
Die C. D. Büttner Sicherheitstechnik GmbH Schwerin ist ein Unternehmen, welches individuelle Lösungen für alle Sicherheitsanforderungen im Geschäfts- und im Privatleben bietet.
 
Die Ausbildung:
Die Schwerpunkte der Ausbildung liegen in der Planung, Montage und Inbetriebnahme von Einbruch- und Brandmeldetechnik, Videoüberwachungsanlagen, Zutrittskontroll- und Zeiterfassungssystemen bis hin zur Installation und Programmierung von Managementsystemen. Die durchzuführenden Tätigkeiten werden an neuen und bestehenden Anlagen durchgeführt.
Das bieten wir Ihnen:
abwechslungsreiche und verantwortungsvolle Aufgaben
Einblicke in diverse Bereiche der Sicherheitstechnik
Unterstützung durch ein erfahrenes und fachlich kompetentes Team
gute Chancen auf Übernahme
Fähigkeiten und Fertigkeiten:
Sie sollten über einen Schulabschluss der mittleren Reife oder Fachhochschulreife verfügen.
Technisches Verständnis, handwerkliches Geschick, freundliches Auftreten sowie Teamfähigkeit und Zuverlässigkeit sollten zu Ihren wesentlichen Eigenschaften zählen.
Die Bewerbung richten Sie bitte an die:
C.D. Büttner Sicherheitstechnik GmbH
z. H. Anja Komnick
Pampower Straße 52
19061 Schwerin
Wir freuen uns auf Sie!"|10000-1203528995-S||
Elektroniker/in - Energie- und Gebäudetechnik||"Arbeitgeber:
Klaus Tensi GmbH"|Ostheimer Str. 9, 33034 Brakel, Westfalen|Beginn ab 01.08.2026|['+49 5272 5452']|[]|"Seit 1832 sind wir als Brakeler Traditions- und Familienunternehmen für unsere Kunden da. Als Handwerksbetrieb in der 6. Generation sind wir Ihr kompetenter Ansprechpartner „von nebenan“ im Bereich Elektro, Sanitär, Heizung und Solar.
Der Name „Tensi“ steht jedoch nicht nur für Arbeiten im Elektro- und Sanitärbereich. In unserem Ladengeschäft in der Ostheimer Straße 9 können Sie sich auch von aktuellen Deko-Trends und Geschenkideen inspirieren und beraten lassen.
Um diese Tradition weiter ausführen zu können, suchen wir zur Verstärkung unseres Teams für 2025 einen Auszubildenden zum Elektroniker Fachrichtung Energie- und Gebäudetechnik (m/w/d).
Die Tätigkeit im Überblick:
Elektroniker/innen der Fachrichtung Energie- und Gebäudetechnik planen elektrotechnische Anlagen von Gebäuden sowie deren Energieversorgung und Infrastruktur. Sie installieren die Anlagen, nehmen sie in Betrieb und warten oder reparieren sie bei Bedarf.
Die Ausbildung im Überblick:
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik ist ein 3,5-jähriger anerkannter Ausbildungsberuf im Handwerk.
Typische Branchen:
Elektroniker/in der Fachrichtung Energie- und Gebäudetechnik finden Beschäftigung
• in Betrieben des Elektrotechnikerhandwerks
• bei Firmen der Immobilienwirtschaft (z.B. im Facility-Management oder bei Hausmeisterdiensten)
Wir freuen uns auf Deine Bewerbung unter den angegebenen Kontaktdaten."|10000-1203528903-S||
Kraftfahrzeugmechatroniker/in - Personenkraftwagentechnik||"Arbeitgeber:
Werner Dreyer Kraftfahrzeuge GmbH"|Limmerburg 3, 31061 Alfeld (Leine)|Beginn ab 01.08.2026|[]|[]|"Die Werner Dreyer Kraftfahrzeuge GmbH bietet zum Sommer 2026
2 Ausbildungsplätze zum/zur Kraftfahrzeugmechatroniker/in - Personenkraftwagentechnik.
Interessenten/innen sollten über einen Realschulabschluss verfügen, gute Zensuren in Mathematik vorweisen können und technisches wie handwerkliches Verständnis haben."|10000-1203528917-S||
Verkäufer/in||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Dieselstr. 9, 74211 Leingarten|Beginn ab 01.08.2026|[]|[]|"Richtiges Verkaufen will gelernt sein
Deine Ausbildung zum Verkäufer (m/w/d) im Lebensmitteleinzelhandel ist eine abwechslungsreiche und vielseitige Tätigkeit, die Kontaktfreudigkeit erfordert. Denn die freundliche Beratung und der tägliche Service für unsere Kunden bilden die Grundlage für deine erfolgreiche Entwicklung.Du absolvierst deine Ausbildung in einem motivierten Team aus tatkräftigen Mitarbeitern. Bei guten theoretischen und praktischen Leistungen bieten wir dir die Möglichkeit, deine Ausbildung in einem dritten Ausbildungsjahr zum Kaufmann im Einzelhandel (m/w/d) zu erweitern.Die Ausbildung endet mit einer Abschlussprüfung vor der IHK zum Verkäufer (m/w/d).
Das sind deine Aufgaben
Kundenberatung und Verkauf sind dein Spezialgebiet
Du kassierst, nimmst Waren an und zeichnest sie aus
Du kümmerst dich um Warenpflege und -positionierung
Du kontrollierst unsere Produkte auf Qualität und Frische
Das bringst du mit
Der Umgang mit Lebensmitteln macht dir Spaß
Du bist kontaktfreudig, gehst gerne auf fremde Menschen zu und kannst dich gut ausdrücken
Du legst Wert auf ein gepflegtes Äußeres und hast Sinn für Ordnung und Sauberkeit
Du bist teamfähig und kannst auch mal mit anpacken
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Wir unterstützen dich mit Schulungen und praktischer Hilfe von erfahrenen Kollegen
Bei besonders guten Leistungen bieten wir dir eine Übernahmegarantie
Information und Bewerbung
Ausbildungsdauer: 2 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: Hauptschulabschluss"|18279-14-3890-A2026-S||https://www.netto-online.de/karriere/job/p14/ausbildung-zum-verkaeufer-m-w-d/leingarten/dieselstr-9/3890?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P14-L3890
