"profession","salary_min","salary_max","salary_unit","salary_paytime","company_name","location","start_date","telephone","email","job_description","ref_no","external_link","application_link"
"Land- und Baumaschinenmechatroniker/in","NaN","NaN","","","NEWTEC West Vertriebsgesellschaft für Agrartechnik GmbH","23684 Scharbeutz","2026-08-01","['+49 4524 7030915']","[]","Die NEWTEC ist ein bedeutender und leistungsfähiger Anbieter von Agrartechnik. Als einer der größten Händler der Marke New Holland vertreibt die NEWTEC Gruppe Neu- und Gebrauchtmaschinen von New Holland und weiterer führender Hersteller.
Hier findest du nähere Informationen zu uns: NEWTEC
Für unseren Standort in Scharbeutz suchen wir eine/n Auszubildende/n zur/zum
Land- und Baumaschinenmechatroniker (m/w/d)
Du bist:
technisch begabt und interessiert
handwerklich geschickt
hast Lust auf Teamarbeit
bist körperlich belastbar und hast Lust auf Arbeit in der Werkstatt und im Freien (Feld)
suchst eine abwechslungsreiche Arbeit in der Werkstatt sowie später auch im Außendienst
Von der Mechanik über Hydraulik bis zur Elektronik lernst du Alles bei uns.
Hier erfährst du auch Informationen aus erster Hand von unseren Azubis NEWTEC
Die Berufsschule befindet sich in Bad Segeberg.","10000-1203245654-S",NULL,NULL
"Industriemechaniker/in","NaN","NaN","","","Roto Frank Fenster- und Türtechnologie GmbH","Wilhelm-Frank-Platz 1, 70771 Leinfelden-Echterdingen","2026-09-01","['+49 174 4004917']","[]","Als technologischer Schrittmacher bietet die Roto Frank Fenster- und Türtechnologie GmbH weltweit intelligente Systemlösungen für Fenster und Türen aller Öffnungsarten und Rahmenmaterialien. Mit global rund 4.000 Mitarbeitern, 18 Produktionswerken, 31 Logistik-Verteilzentren und über 30 Vertriebsgesellschaften ist das Unternehmen unter anderem weltweiter Marktführer bei Drehkipp-Beschlägen. Unter dem Dach der Roto Frank Holding AG gehört es zur international tätigen Roto Gruppe.
Wir bieten Dir eine qualitative Ausbildung am Standort in Leinfelden-Echterdingen
Ausbildung zum Industriemechaniker m/w/d - Start im Sep. 2026
Das erwartet Dich:
Ausbildung in den betrieblichen Prozessen sowie in unserer firmeninternen Ausbildungswerkstatt
Eine individuelle Einarbeitung (Erlebnispädagogik, Betreuung durch Paten, Einführungsschulungen)
Erlernen von Herstellungstechniken: Drehen, Fräsen, Bohren, Schleifen
Unterricht in den Bereichen Umweltschutz und Energiesparen
Teilnahme an innerbetriebliche Lehrgänge (Pneumatik, NC-Technik)
Gezielte Förderung – fachlich und persönlich
Freiräume und die Möglichkeit sich einzubringen und selbst zu gestalten
Ein vertrauensvoller Umgang im Ausbildungsteam
Intensive Prüfungsvorbereitung
Ausbildungsdauer: 3,5 Jahre
Das bringst Du mit:
Interesse an Technik
Guter Haupt- oder Realschulabschluss
Handwerkliches Geschick
Räumliches Vorstellungsvermögen
Logisches Denkvermögen
Teamfähigkeit
Das bieten wir Dir:
Tarifliche Vergütung, Urlaubs- & Weihnachtsgeld, Zeugnisprämien
Flexible Arbeitszeit
Strukturierter Ausbildungs-/Durchlaufplan mit qualifizierter Betreuung
Sportangebote
Vergünstigungen, Fahrtgeldzuschuss, Büchergeld
Bike-leasing, firmennaher ÖNPV, kostenlose Parkplätze
Event & Teambuildingmaßnahmen
Internationale Einsätze & Auslandsaufenthalte
Wir haben Dein Interesse geweckt?
Bewirb Dich über unser Karriereportal mit Deinen Bewerbungsunterlagen bestehend aus Anschreiben, Lebenslauf und relevanten Anlagen (Zeugnisse, Zertifikate).
Mehr Infos zur Ausbildung bei Roto findest Du unter:
https://ftt.roto-frank.com/de-de/karriere/azubis-und-studierende/
Ansprechpartnerin:
Frau Beatrix Kraft
Ausbildungsleitung
Roto Frank Fenster- und Türtechnologie GmbH
Human Resources Wilhelm-Frank-Platz 1
70771 Leinfelden-Echterdingen
http://www.roto-frank.com","10000-1203470244-S","http://www.roto.de/","https://www.jobs.roto-frank.com/Ausbildung-zum-Industriemechaniker-mwd-Start-im-Sep-2026-de-j4868.html"
"Gerüstbauer/in","NaN","NaN","","","Dirk Müschen Gerüstbau GmbH & Co KG","Bunte Riede 14, 30900 Wedemark","2026-08-01","['+49 5130 39431', '+49 5130 582536']","[]","Du suchst einen Ausbildungsplatz für 2026?
Wir sind ein aktives Gerüstbauteam im Generationswechsel (Übergabe vom Vater zum Sohn),und möchten uns gerne vergrößern.
Daher suchen wir einen Auszubildenden (m/w/d) im Gerüstbauhandwerk.
Du bekommst den Ersatz für das Fitnessstudio und frische Luft inklusive.
Bei fast täglichen wechselnden Baustellen kannst Du Dir nahezu täglich ein neues Bild deiner Heimat von oben machen.
Du hast keine Ahnung von dem was wir tun!
Kein Problem wir erklären es Dir gerne. (Wir bieten auch Praktikumsplätze an)
Was solltest Du mitbringen!
Zuverlässigkeit
Teamfähigkeit
Schwindelfrei
gewissenhafte Arbeitsweise
handwerkliches Geschick.
Diese Vorteile bieten wir:
Unsere Betriebsstätte ist in Lindwedel, in Bahnhofsnähe.
Du arbeitest in familiärer Atmosphäre.
Du erhältst Urlaubs – und Weihnachtsgeld.
Die Arbeitskleidung wird gestellt.
Kostenlose Getränke stehen Dir zu Verfügung.
Übernahme nach der Ausbildung garantiert.
Bei Interesse freuen wir uns auf deine Bewerbungsunterlagen per Mail.","10000-1203525778-S","http://mueschen.com/",NULL
"Kaufmann/-frau - Büromanagement","NaN","NaN","","","Landig + Lava GmbH & Co KG","Mackstr. 90, 88348 Bad Saulgau","2026-09-01","['+49 7581 48959203']","[info@landig.com, info@landig.com, info@landig.com]","AUSBILDUNG KAUFMANN FÜR BÜROKOMMUNIKATION (M/W/D)
Ihre Aufgaben: VIELSEITIG, ABWECHSLUNGSREICH UND SPANNEND
Einkauf / Verkauf & Marketing – Intensive Einführung in dieses spannende Aufgabenfeld. Erwerb von umfangreichen Kenntnissen im weltweiten Vertrieb hochwertiger Produkte. Einblicke in die deutschlandweiten und internationalen Marketingaktivitäten.
Umfassende Einblicke – Kennenlernen der Aufgabenbereiche eines Bürokaufmanns, darüber hinaus Prozess- und Projektmanagement sowie Finanzen
Arbeitsumfeld – Mitarbeit in Projekten und Unterstützung der freundlichen Kollegen im Tagesgeschäft
Berufsschule – Regelmäßiger Berufsschulunterricht zur Vermittlung der theoretischen Inhalte der Ausbildung
Ihr Profil: KOMMUNIKATIV, KONTAKTFREUDIG UND SELBSTBEWUSST
Erfolgreich abgeschlossene Mittlere Reife, Fachhochschulreife oder Abitur
Motiviert Neues zu lernen, Freude an der Arbeit im Team und dem offenen Umgang mit Menschen
Sorgfältige, zuverlässige und strukturierte Arbeitsweise und eine Affinität für Kochen und BBQ
Sehr gute Auffassungsgabe und die Fähigkeit, komplexe Zusammenhänge schnell zu erfassen
Interesse an Vertrieb und Marketing
Sehr gute EDV Kenntnisse sowie Erfahrung mit MS-Office, vor allem Word und Excel
Wer wir sind: INNOVATIV, DYNAMISCH UND LUST AUF MEHR – Landig + Lava GmbH & Co. KG
Erfahrenes und gut eingespieltes Team
Unternehmen auf Expansionskurs
Neues Firmengebäude
Familiäre Stimmung, Anpackermentalität
Spannende Marken und Produkte: DRY AGER, Landig, LAVA
Stark am Markt: Teils Markt/- bzw. Technologieführer
Unternehmen legt extrem viel Wert auf Qualität und Hochwertigkeit
Made in Germany. Regionalität spielt eine Rolle. Nachhaltigkeit!
nteressiert? Neugierig? Voller Tatendrang? Dann gleich bewerben!
WIR FREUEN UNS AUF DICH!
Jetzt online bewerben","10000-1203527945-S",NULL,"https://www.landig.com/jobs/job-detail/1249874/ausbildung-kaufmann-fuer-buerokommunikation-m-w-d/"
"Kaufmann/-frau - Büromanagement","NaN","NaN","","","Schindler Haus- und Dachpflege GmbH & Co. KG","99706 Sondershausen, Thüringen",NULL,"['+49 3632 703701', '+49 162 2688588']","[]","Wir sind ein etabliertes Dachdeckerunternehmen mit langjähriger Erfahrung, Qualität und Verlässlichkeit. Zur Verstärkung unseres Teams suchen wir motivierte Auszubildende am Standort Sondershausen
Was wir dir bieten
Ausbildungsbeginn: ab sofort
Abwechslungsreiche Tätigkeiten im Büro-Alltag (Auftragsbearbeitung, Angebotsbearbeitung, Rechnungsvorbereitung, Schriftverkehr)
Ein motiviertes Team, persönliche Einarbeitung
Moderne Arbeitsmittel
Vergütung gemäß Ausbildungsordnung
Deine Aufgaben
Unterstützen des Büroteams bei der Auftragsabwicklung
Pflege von Kundendaten, Angeboten, Rechnungen und Lieferscheinen
Telefon-und E-Mail-Korrespondenz
Terminplanung, Koordination von Baustellen
Allgemeine Büro-Organisation, Postverkehr und Dokumentation
Dein Profil
Mindestens einen mittleren Bildungsabschluss (oder ein vergleichbarer Abschluss)
Gute Deutschkenntnisse in Wort und Schrift
Zuverlässigkeit, Lernbereitschaft und Teamfähigkeit
Freundliches Auftreten und Kommunikationsstärke
Englischkenntnisse von Vorteil, aber kein Muss
Ausbildungsdauer
3 Jahre (Verkürzung bei passenden Vorqualifikationen möglich)
Wir freuen uns über deine Bewerbung. Bitte sende deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Schulzeugnisse) unter Angabe des frühestmöglichen Eintrittstermins an: empfang@schindler-dach.de","10000-1203528049-S",NULL,NULL
"Zahnmedizinische/r Fachangestellte/r","NaN","NaN","","","Zahnärzte Melanie und Otto Loibl GbR","Fröbelstr. 4, 94315 Straubing",NULL,"[]","[]","Wir bieten ab 01.09.2026 einen Ausbildungsplatz zum Zahnmedizinischen Fachangestellten (m/w/d).
Wechsler/-innen oder Quereinsteiger/-innen können sofort in die Ausbildung einsteigen.
Zahnmedizinische Fachangestellte unterstützen Zahnärzte und -ärztinnen bei allen Tätigkeiten in einer Praxis. Sie empfangen und betreuen die Patienten, organisieren die Praxisabläufe und assistieren bei Untersuchungen und Behandlungen.
Zahnmedizinischer Fachangestellter bzw. Zahnmedizinische Fachangestellte ist ein anerkannter Ausbildungsberuf nach dem Berufsbildungsgesetz (BBiG) mit bundesweit geregelter 3-jähriger Ausbildung.
Interessiert?
Dann freuen wir uns auf deine Bewerbung!","10000-1203528158-S","http://www.zahnarztpraxis-loibl.de/",NULL
"Elektroniker/in - Maschinen und Antriebstechnik (HwO)","NaN","NaN","","","Buck GmbH","Lotter Str. 15, 49545 Tecklenburg","2026-08-01","['+49 5405 921213']","[info@buck-emb.de, info@buck-emb.de, info@ihrke-antriebstechnik.de, info@sg-elektro.de]","Ausbildung 2026 zum
ELEKTRONIKER für Maschinen- und Antriebstechnik (m/w/d)
in 49545 Tecklenburg. Die Buck GmbH ist ein traditionsreiches Unternehmen, welches den Schritt in die Zukunft modern mitgestaltet. Ein Fachbetrieb, der sich den Kundenbedürfnissen rund um das Thema Elektromotor widmet. Unsere Servicetechniker kümmern sich um Reparaturen, Wartung, Fertigung und Service von Elektromotoren und Pumpen/Pumpwerken sowie dem Verkauf derselbigen.
Was Du Dir von Deiner Ausbildung wünschst:
Elektrotechnische und handwerkliche Herausforderungen: Fehler suchen, Demontage, Schrauben, Reparieren, Wickeln, Spritzen, Messen, Prüfen und Entwickeln von Lösungen für elektronische Probleme.
Equipment: Eine gut ausgestattete Werkstatt, funktionelle Arbeitskleidung, Fahrkostenerstattung.
Teamarbeit: Eine umfassende Einarbeitung durch Deinen Ausbilder und die Teamkollegen.
Kommunikation: Durch Deinen engagierten Ausbilder bist Du gut betreut und hast immer jemanden, der ein offenes Ohr für Dich hat, durch unsere flachen Hierarchien bekommst Du immer mit, was anliegt.
Deine Arbeitswelt: Blockunterricht im Hans -Böckler-Berufskolleg in Münster, Teilnahme an überbetrieblichen Unterweisungen, geregelte Arbeitszeiten im Betrieb, 5 Tage Woche, angemessene Vergütung und Urlaub nach Tarif, freundliches und familiäres Betriebsklima.
Was wir uns wünschen:
Kenntnisse: Du hast einen guten mittleren Schulabschluss absolviert, idealerweise hast Du schon erste praktische Erfahrung in einem technischen Umfeld z.B. durch ein Schulpraktikum gesammelt, das ist aber kein Muss. Handwerkliches Geschick.
Persönlichkeit: Du begeisterst Dich für elektrische Motoren und hast Spaß daran, diese genauer unter die Lupe zu nehmen, Du hast keine Scheu Dir die Hände in der Werkstatt dreckig zumachen, durch Deine freundliche, kollegiale Art kannst Du Dich schnell in einem Team einfinden.
Mobilität: PKW-Führerschein Klasse B von Vorteil aufgrund der Berufsschule aber kein Muss. Auch öffentlich erreichbar.
Wie wir Dich für uns begeistern:
Abwechslung: Unsere Kunden und Ihre Probleme sind vielfältig, jeder Tag bringt neue Herausforderungen, die Du aber mithilfe Deines kollegialen Teams und Deines stets wachsendem Fachwissen lösen kannst.
Verantwortung: Bei uns bist Du eingebunden in das Werkstattteam als gleichwertiger Mitarbeiter und darfst nach einer umfassenden Einarbeitung eigenständig arbeiten.
Sicherheit: Du bist uns wichtig! Von daher achten wir auf die Umsetzung der Unfallverhütungsvorschriften und einen sicheren und gesunden Arbeitsplatz.
Zukunftschancen:  Wir wollen Dich auch nach Deinem Start in das Berufsleben langfristig auf Deinem Berufsweg begleiten. Dank unseres Wachstuns und unserer Zugehörigkeit zu unserer Unternehmensgruppe bieten sich vielfältige Übernahme- sowie Weiterbildungsmöglichkeiten.
Gerne kannst Du nach vorheriger Vereinbarung vorbeikommen zum Schnuppern oder ein Praktikum absolvieren.
Wir freuen uns auf die Zusendung Deiner Bewerbungsunterlagen per Mail!
Deine Ansprechpartnerin bei uns ist Frau Silvia Hammer.
Email: personal@buck-emb.de
Telefon: 05405/ 921213
Mehr Infos findest du auch:  www.buck-emb.de","10000-1203528219-S","http://www.buck-emb.de/",NULL
"Dachdecker/in","1.00","1.00","€","Monat","Schindler Haus- und Dachpflege GmbH & Co. KG","Brückental 9, 99706 Sondershausen, Thüringen",NULL,"['+49 3632 703700']","[]","Wir sind ein etabliertes Dachdeckerunternehmen mit langjähriger Erfahrung, Qualität und Verlässlichkeit. Zur Verstärkung unseres Teams suchen wir motivierte Auszubildende.
Was wir dir bieten
Ausbildungsbeginn: ab sofort
Abwechslungsreiche Tätigkeiten auf Dächern und bei Montagen (Neubau, Sanierung, Dachsanierung)
Ein motiviertes Team, intensive Einarbeitung
Moderne Arbeitsmittel, sichere Arbeitsplätze und umfassende Sicherheitseinweisung
Vergütung gemäß Ausbildungsverordnung
Langfristige Perspektiven in einem wachsenden Unternehmen
Deine Aufgaben
Unterstützung bei Montage und Verlegung von Dachabdichtungen (z.B. Bitumen-, Kunststoff- oder PVC-/FPO-Systeme)
Dein Profil
Hauptschulabschluss (oder ein vergleichbarer Abschluss)
Handwerkliches Interesse
Technisches Verständnis, Geschick und räumliches Vorstellungsvermögen
Körperliche Belastbarkeit, Teamfähigkeit und Zuverlässigkeit
Bereitschaft zu Montagetätigkeit
Ausbildungsdauer
3 Jahre (Verkürzung bei passenden Vorqualifikationen möglich)
Wir freuen uns über deine Bewerbung!
Bitte sende deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Schulzeugnisse) unter Angabe des frühestmöglichen Eintrittstermins an: empfang@schindler-dach.de","10000-1203528367-S",NULL,NULL
"Anästhesietechnische/r Assistent/in","NaN","NaN","","","Universitätsklinikum Münster","Albert-Schweitzer-Campus 1, 48149 Münster, Westfalen","2026-10-01","['+49 251 8355255']","[bipg@ukmuenster.de, bipg@ukmuenster.de, praktikum@ukmuenster.de, alina.burgheim@ukmuenster.de, heike.kraemer@ukmuenster.de, rene.neumueller@ukmuenster.de, michaela.woike@ukmuenster.de, sara-elena.ueffing@ukmuenster.de, jasmin.pelizaeus@ukmuenster.de, sabrina.murch@ukmuenster.de, taalke.wuebben@ukmuenster.de, dominik.zergiebel@ukmuenster.de, carolin.wengler@ukmuenster.de, sebastian.bittner@ukmuenster.de]","Anästhesietechnische Assistenz - Deine Ausbildung in der Anästhesie
Bildungsinstitut für Pflege und Gesundheit: Schule für Anästhesietechnische Assistenten
Anästhesietechnische Assistentinnen (ATA) sind wichtiger Teil des OP-Teams: Sie wirken bei der Vorbereitung, Begleitung und Nachsorge einer Narkose mit. Sie betreuen Patientinnen fachgerecht in verschiedenen Bereichen der Anästhesie, zum Beispiel bei Endoskopien. Damit leisten sie einen verantwortungsvollen Beitrag zur Durchführung der Operation und zur Sicherheit von Patient*innen.
Patientinnen sollen während der OP keine Schmerzen spüren: Daher ist die richtige Anästhesie während einer Operation unverzichtbar. Unsere ATAs arbeiten eng mit unseren Fachärztinnen zusammen und assistieren ihnen bei der Durchführung der Narkose. Während des Eingriffs überwachen Anästhesietechnische Assistentinnen die Vitalwerte der Patientinnen, damit bei Komplikationen schnell reagiert werden kann. Zudem sind ATA dafür zuständig, den Verlauf der Narkose-Verabreichung zu dokumentieren.
Technische und medizinische Erkenntnisse – fachliche, personelle, soziale und methodische Kompetenz: All das vermittelt die Ausbildung zur Anästhesietechnischen Assistenz am UKM auf höchstem Niveau. Wir befähigen unsere Auszubildenden zur eigenverantwortlichen Mitarbeit im anästhesiologischen Bereich, aber auch in anderen diagnostischen und therapeutischen Funktionsbereichen.
Bitte sende deine Bewerbungsunterlagen für den Ausbildungsstart im Oktober 2026 im Zeitraum vom 01.09.2025 bis zum 28.02.2026 über unser Karriereportal.
Dauer: 3 Jahre
Umfang: 2.100 Std. Theorie & 2.500 Std. Praxis
Ausbildungsvergütung:
Lehrjahr 1380,70 €,
Lehrjahr: 1446,70 €,
Lehrjahr 1553,00 €
(* ab 01.02.2025 TVLA)
Nächster Start: Oktober 2026
Theoretische Ausbildung
Die Ausbildungsziele sind nach Kompetenzschwerpunkten aufgebaut. Die Unterrichtsplanung erfolgt auf Grundlagen der Rahmenlehrplanung NRW und des internen Curriculums. Der theoretische Unterricht findet im Blockunterricht statt.
Praktische Ausbildung
Der praktische Teil der Ausbildung erfolgt in unterschiedlichen Anästhesieabteilungen des UKM. Dafür stehen über 40 Anästhesie-Arbeitsplätze zur Verfügung. Ein weiterer Teil der praktischen Ausbildung umfasst folgende Bereiche: Einsatz in der Notaufnahme, Ambulantes Operieren, Endoskopie, auf der Intensivstation und in der Zentralen Sterilgutversorgung.
Welche Zugangsvoraussetzungen muss ich erfüllen?
Gesundheitliche Eignung
Realschulabschluss oder eine andere gleichwertige, abgeschlossene Schulbildung
Hauptschulabschluss oder eine andere gleichwertige abgeschlossene Schulbildung zusammen mit einer Berufsausbildung
Deutsch-Sprachniveau B2
Als Voraussetzung zur Teilnahme an einer Ausbildung müssen im Ausland erworbene Schulabschlüsse vor Beginn der Ausbildung behördlich anerkannt sein und zur Bewerbung vorliegen. Abhängig von den Schulabschlüssen sind die Bezirksregierungen Köln bzw. Düsseldorf zuständig:
Informationen der Bezirksregierung Köln
Informationen der Bezirksregierung Düsseldorf
Wie kann ich mich bewerben?
Der nächste Kurs beginnt am 1. Oktober 2026.
Bitte reiche deine Bewerbungsunterlagen für 2026 im Zeitraum vom 01.09.2025 bis 28.02.2026 bei uns ein.
Bewerbung über das UKM-Karriereportal
Bewerbungsunterlagen
Anschreiben, tabellarischer Lebenslauf, Zeugnisse & Bescheinigungen, ggf. weitere Nachweise (z.B. von Praktika, Freiwilliges Soziales Jahr (FSJ) oder Bundesfreiwilligendienst (BFD), Bescheinigung über die gesundheitliche Eignung zum Ausbildungsberuf ATA
Flyer
Weitere Informationen zur ATA-Ausbildung am UKM findest du in unserem Flyer.
Kontakt/Erreichbarkeit
Schule für Anästhesietechnische Assistenten
Sekretariat
Schmeddingstr. 56
48149 Münster
+49 251 83-55255
bipg(at)ukmuenster.de
Praktikum
Für ein Praktikum in der Anästhesie am UKM kontaktiere bitte praktikum@­ukmuenster.­de.","10000-1203528442-S","https://www.ukm.de/karriere","https://www.ukm.de/pflege/karriere/anaesthesietechnische-assistenz"
"Feinwerkmechaniker/in","NaN","NaN","","","Böckmann Maschinenbau GmbH","Feldkamp 12, 49451 Holdorf, Niedersachsen","2026-08-01","[]","[info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de, info@boeckmann-maschinenbau.de]","Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur
Feinwerkmechaniker/in (m/w/d).
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!","10000-1203528464-S","http://www.boeckmann-maschinenbau.de/",NULL
